instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2025-07-09T11:00:00.000000000Z,1.1702,1.17066,1.16897,1.16912,5503
EUR_USD,H1,2025-07-09T12:00:00.000000000Z,1.16913,1.1717,1.16913,1.17154,10269
EUR_USD,H1,2025-07-09T13:00:00.000000000Z,1.17154,1.17226,1.17005,1.17034,10742
EUR_USD,H1,2025-07-09T14:00:00.000000000Z,1.17034,1.17246,1.17028,1.17148,10583
EUR_USD,H1,2025-07-09T15:00:00.000000000Z,1.17148,1.17163,1.17051,1.17061,6124
EUR_USD,H1,2025-07-09T16:00:00.000000000Z,1.17062,1.17091,1.17008,1.17051,3952
EUR_USD,H1,2025-07-09T17:00:00.000000000Z,1.1705,1.1711,1.1704,1.17096,4584
EUR_USD,H1,2025-07-09T18:00:00.000000000Z,1.1709,1.17179,1.17052,1.17134,4867
EUR_USD,H1,2025-07-09T19:00:00.000000000Z,1.17136,1.17232,1.17128,1.1719,3726
EUR_USD,H1,2025-07-09T20:00:00.000000000Z,1.17191,1.17238,1.17117,1.17218,3360
EUR_USD,H1,2025-07-09T21:00:00.000000000Z,1.17188,1.17234,1.17173,1.1723,582
EUR_USD,H1,2025-07-09T22:00:00.000000000Z,1.17232,1.17252,1.17228,1.17246,766
EUR_USD,H1,2025-07-09T23:00:00.000000000Z,1.17246,1.174,1.1723,1.17381,1967
EUR_USD,H1,2025-07-10T00:00:00.000000000Z,1.1738,1.17497,1.17358,1.17439,6886
EUR_USD,H1,2025-07-10T01:00:00.000000000Z,1.17438,1.17445,1.17378,1.17408,4262
EUR_USD,H1,2025-07-10T02:00:00.000000000Z,1.17409,1.17446,1.17374,1.17392,4326
EUR_USD,H1,2025-07-10T03:00:00.000000000Z,1.1739,1.174,1.17338,1.1734,3156
EUR_USD,H1,2025-07-10T04:00:00.000000000Z,1.17342,1.17359,1.17304,1.1735,2729
EUR_USD,H1,2025-07-10T05:00:00.000000000Z,1.17348,1.17411,1.17348,1.17392,3626
EUR_USD,H1,2025-07-10T06:00:00.000000000Z,1.17393,1.17435,1.17296,1.17328,6751
EUR_USD,H1,2025-07-10T07:00:00.000000000Z,1.17328,1.1738,1.17262,1.17332,7016
EUR_USD,H1,2025-07-10T08:00:00.000000000Z,1.17333,1.17344,1.17262,1.17276,4630
EUR_USD,H1,2025-07-10T09:00:00.000000000Z,1.17277,1.17344,1.17277,1.17311,3615
EUR_USD,H1,2025-07-10T10:00:00.000000000Z,1.17312,1.1734,1.17276,1.17284,3278
EUR_USD,H1,2025-07-10T11:00:00.000000000Z,1.17284,1.17296,1.17081,1.1712,5216
EUR_USD,H1,2025-07-10T12:00:00.000000000Z,1.1712,1.1714,1.17016,1.17067,8353
EUR_USD,H1,2025-07-10T13:00:00.000000000Z,1.17066,1.17148,1.16866,1.16928,9479
EUR_USD,H1,2025-07-10T14:00:00.000000000Z,1.16928,1.16938,1.16624,1.168,15108
EUR_USD,H1,2025-07-10T15:00:00.000000000Z,1.16799,1.16886,1.1674,1.16874,8487
EUR_USD,H1,2025-07-10T16:00:00.000000000Z,1.16874,1.16902,1.16824,1.16856,5565
EUR_USD,H1,2025-07-10T17:00:00.000000000Z,1.16856,1.16914,1.16816,1.16892,3942
EUR_USD,H1,2025-07-10T18:00:00.000000000Z,1.1689,1.1695,1.16879,1.16923,3927
EUR_USD,H1,2025-07-10T19:00:00.000000000Z,1.16924,1.16992,1.169,1.16956,3440
EUR_USD,H1,2025-07-10T20:00:00.000000000Z,1.16955,1.17007,1.16946,1.17006,2470
EUR_USD,H1,2025-07-10T21:00:00.000000000Z,1.1699,1.17036,1.16984,1.17036,915
EUR_USD,H1,2025-07-10T22:00:00.000000000Z,1.17036,1.17076,1.17024,1.17058,936
EUR_USD,H1,2025-07-10T23:00:00.000000000Z,1.17059,1.17062,1.16994,1.17018,1504
EUR_USD,H1,2025-07-11T00:00:00.000000000Z,1.1702,1.17049,1.16648,1.16748,13109
EUR_USD,H1,2025-07-11T01:00:00.000000000Z,1.16747,1.1686,1.16686,1.16754,8312
EUR_USD,H1,2025-07-11T02:00:00.000000000Z,1.16755,1.1678,1.16708,1.1671,5774
EUR_USD,H1,2025-07-11T03:00:00.000000000Z,1.1671,1.16846,1.16704,1.16817,4118
EUR_USD,H1,2025-07-11T04:00:00.000000000Z,1.16816,1.1683,1.16693,1.16764,4676
EUR_USD,H1,2025-07-11T05:00:00.000000000Z,1.16762,1.16842,1.16751,1.16782,4637
EUR_USD,H1,2025-07-11T06:00:00.000000000Z,1.16782,1.16848,1.16704,1.16749,7924
EUR_USD,H1,2025-07-11T07:00:00.000000000Z,1.16752,1.16958,1.16752,1.16888,8296
EUR_USD,H1,2025-07-11T08:00:00.000000000Z,1.1689,1.16922,1.16798,1.16822,6880
EUR_USD,H1,2025-07-11T09:00:00.000000000Z,1.16822,1.16954,1.16812,1.1695,5763
EUR_USD,H1,2025-07-11T10:00:00.000000000Z,1.1695,1.16969,1.16876,1.16927,5713
EUR_USD,H1,2025-07-11T11:00:00.000000000Z,1.16928,1.17012,1.16863,1.1688,7159
EUR_USD,H1,2025-07-11T12:00:00.000000000Z,1.16878,1.17004,1.16824,1.16886,9127
