signal,entry,stop_loss,take_profit
BUY,1.16985,1.16885,1.17185
SELL,1.15394,1.15494,1.15194
SELL,1.14302,1.14402,1.14102
SELL,1.1419,1.1429,1.1399
BUY,1.15758,1.15658,1.15958
BUY,1.1585,1.1575,1.1605
SELL,1.16287,1.16387,1.16087
BUY,1.16922,1.16822,1.17122
BUY,1.17052,1.16952,1.17252
SELL,1.16379,1.16479,1.16179
SELL,1.16494,1.16594,1.16294
SELL,1.16006,1.16106,1.15806
SELL,1.1637,1.1647,1.1617
SELL,1.16395,1.16495,1.16195
BUY,1.17291,1.17191,1.17491
SELL,1.17004,1.17104,1.16804
SELL,1.1694,1.1704,1.1674
BUY,1.1858,1.1848,1.1878
SELL,1.17849,1.17949,1.17649
BUY,1.18028,1.17928,1.18228
SELL,1.17334,1.17434,1.17134
SELL,1.16631,1.16731,1.16431
BUY,1.17308,1.17208,1.17508
BUY,1.17583,1.17483,1.17783
SELL,1.16528,1.16628,1.16328
SELL,1.16122,1.16222,1.15922
SELL,1.15702,1.15802,1.15502
BUY,1.16333,1.16233,1.16533
BUY,1.16606,1.16506,1.16806
SELL,1.16008,1.16108,1.15808
BUY,1.16312,1.16212,1.16512
BUY,1.16387,1.16287,1.16587
BUY,1.1657,1.1647,1.1677
SELL,1.15614,1.15714,1.15414
SELL,1.15669,1.15769,1.15469
SELL,1.15134,1.15234,1.14934
SELL,1.15232,1.15332,1.15032
SELL,1.14882,1.14982,1.14682
BUY,1.1568,1.1558,1.1588
BUY,1.15932,1.15832,1.16132
BUY,1.15894,1.15794,1.16094
BUY,1.16361,1.16261,1.16561
SELL,1.1591,1.1601,1.1571
SELL,1.15729,1.15829,1.15529
SELL,1.15074,1.15174,1.14874
BUY,1.15682,1.15582,1.15882
BUY,1.15789,1.15689,1.15989
BUY,1.1607,1.1597,1.1627
BUY,1.16802,1.16702,1.17002
BUY,1.16734,1.16634,1.16934
BUY,1.17414,1.17314,1.17614
BUY,1.17536,1.17436,1.17736
SELL,1.17272,1.17372,1.17072
BUY,1.17828,1.17728,1.18028
BUY,1.17994,1.17894,1.18194
SELL,1.1771,1.1781,1.1751
SELL,1.17758,1.17858,1.17558
SELL,1.17667,1.17767,1.17467
SELL,1.1742,1.1752,1.1722
SELL,1.17116,1.17216,1.16916
SELL,1.16902,1.17002,1.16702
SELL,1.16426,1.16526,1.16226
SELL,1.16094,1.16194,1.15894
BUY,1.1879,1.1869,1.1899
BUY,1.18891,1.18791,1.19091
SELL,1.18499,1.18599,1.18299
SELL,1.17911,1.18011,1.17711
SELL,1.18016,1.18116,1.17816
SELL,1.1798,1.1808,1.1778
BUY,1.18266,1.18166,1.18466
SELL,1.18732,1.18832,1.18532
SELL,1.18614,1.18714,1.18414
SELL,1.17737,1.17837,1.17537
SELL,1.17864,1.17964,1.17664
SELL,1.16903,1.17003,1.16703
SELL,1.15996,1.16096,1.15796
SELL,1.1573,1.1583,1.1553
BUY,1.16484,1.16384,1.16684
SELL,1.15393,1.15493,1.15193
SELL,1.14416,1.14516,1.14216
BUY,1.15362,1.15262,1.15562
BUY,1.15733,1.15633,1.15933
BUY,1.16018,1.15918,1.16218
SELL,1.15579,1.15679,1.15379
SELL,1.15357,1.15457,1.15157
SELL,1.15128,1.15228,1.14928
SELL,1.1459,1.1469,1.1439
BUY,1.15602,1.15502,1.15802
BUY,1.16958,1.16858,1.17158
BUY,1.17103,1.17003,1.17303
BUY,1.17953,1.17853,1.18153
BUY,1.18004,1.17904,1.18204
SELL,1.17346,1.17446,1.17146
SELL,1.16929,1.17029,1.16729
BUY,1.17355,1.17255,1.17555
SELL,1.16864,1.16964,1.16664
BUY,1.17503,1.17403,1.17703
BUY,1.177,1.176,1.179
BUY,1.17745,1.17645,1.17945
SELL,1.17382,1.17482,1.17182
SELL,1.17102,1.17202,1.16902
SELL,1.1623,1.1633,1.1603
SELL,1.16366,1.16466,1.16166
BUY,1.16482,1.16382,1.16682
BUY,1.16384,1.16284,1.16584
BUY,1.16687,1.16587,1.16887
SELL,1.16122,1.16222,1.15922
SELL,1.15192,1.15292,1.14992
BUY,1.15539,1.15439,1.15739
SELL,1.15296,1.15396,1.15096
BUY,1.15768,1.15668,1.15968
BUY,1.16069,1.15969,1.16269
SELL,1.14533,1.14633,1.14333
BUY,1.14034,1.13934,1.14234
BUY,1.14215,1.14115,1.14415
SELL,1.13776,1.13876,1.13576
BUY,1.14307,1.14207,1.14507
SELL,1.14103,1.14203,1.13903
