time,signal,entry,stop_loss,take_profit,result,profit,balance
2025-07-14T16:00:00.000000000Z,SELL,1.16705,1.16805,1.16505,LOSS,-100.00,9900.00
2025-07-15T14:00:00.000000000Z,SELL,1.16425,1.16525,1.16225,WIN,198.00,10098.00
2025-07-22T09:00:00.000000000Z,BUY,1.16993,1.16893,1.17193,LOSS,-100.98,9997.02
2025-07-22T14:00:00.000000000Z,BUY,1.17049,1.16949,1.17249,LOSS,-99.97,9897.05
2025-07-30T11:00:00.000000000Z,SELL,1.15387,1.15487,1.15187,WIN,197.94,10094.99
2025-07-31T16:00:00.000000000Z,SELL,1.14294,1.14394,1.14094,WIN,201.90,10296.89
2025-08-01T08:00:00.000000000Z,SELL,1.14181,1.14281,1.13981,WIN,205.94,10502.83
2025-08-01T12:00:00.000000000Z,SELL,1.14041,1.14141,1.13841,LOSS,-105.03,10397.80
2025-08-13T21:00:00.000000000Z,BUY,1.17065,1.16965,1.17265,LOSS,-103.98,10293.82
2025-08-20T09:00:00.000000000Z,SELL,1.16371,1.16471,1.16171,LOSS,-102.94,10190.88
2025-08-20T12:00:00.000000000Z,SELL,1.16416,1.16516,1.16216,LOSS,-101.91,10088.97
2025-08-21T01:00:00.000000000Z,SELL,1.16463,1.16563,1.16263,WIN,201.78,10290.75
2025-08-22T14:00:00.000000000Z,SELL,1.15999,1.16099,1.15799,LOSS,-102.91,10187.84
2025-08-27T00:00:00.000000000Z,SELL,1.16366,1.16466,1.16166,WIN,203.76,10391.60
2025-09-02T23:00:00.000000000Z,SELL,1.16365,1.16465,1.16165,WIN,207.84,10599.44
2025-09-04T17:00:00.000000000Z,SELL,1.16388,1.16488,1.16188,LOSS,-105.99,10493.45
2025-09-08T12:00:00.000000000Z,BUY,1.17296,1.17196,1.17496,WIN,209.86,10703.31
2025-09-10T17:00:00.000000000Z,SELL,1.17049,1.17149,1.16849,WIN,214.06,10917.37
2025-09-16T02:00:00.000000000Z,BUY,1.17685,1.17585,1.17885,WIN,218.34,11135.71
2025-09-17T06:00:00.000000000Z,BUY,1.18589,1.18489,1.18789,LOSS,-111.36,11024.35
2025-09-19T05:00:00.000000000Z,SELL,1.17733,1.17833,1.17533,WIN,220.48,11244.83
2025-09-24T05:00:00.000000000Z,BUY,1.18037,1.17937,1.18237,LOSS,-112.45,11132.38
2025-09-25T08:00:00.000000000Z,SELL,1.17329,1.17429,1.17129,LOSS,-111.32,11021.06
2025-09-26T11:00:00.000000000Z,SELL,1.16627,1.16727,1.16427,LOSS,-110.21,10910.85
2025-09-30T00:00:00.000000000Z,BUY,1.17315,1.17215,1.17515,LOSS,-109.11,10801.74
2025-10-01T05:00:00.000000000Z,BUY,1.17594,1.17494,1.17794,LOSS,-108.02,10693.72
2025-10-08T00:00:00.000000000Z,SELL,1.16523,1.16623,1.16323,WIN,213.88,10907.60
2025-10-09T12:00:00.000000000Z,SELL,1.16115,1.16215,1.15915,LOSS,-109.08,10798.52
2025-10-15T19:00:00.000000000Z,BUY,1.16339,1.16239,1.16539,WIN,215.98,11014.50
2025-10-16T15:00:00.000000000Z,BUY,1.16777,1.16677,1.16977,LOSS,-110.14,10904.36
2025-10-16T17:00:00.000000000Z,BUY,1.16779,1.16679,1.16979,WIN,218.08,11122.44
2025-10-22T08:00:00.000000000Z,SELL,1.16000,1.16100,1.15800,WIN,222.44,11344.88
2025-10-27T17:00:00.000000000Z,BUY,1.16395,1.16295,1.16595,WIN,226.90,11571.78
2025-10-28T10:00:00.000000000Z,BUY,1.16577,1.16477,1.16777,LOSS,-115.72,11456.06
2025-10-31T07:00:00.000000000Z,SELL,1.15607,1.15707,1.15407,LOSS,-114.56,11341.50
2025-10-31T12:00:00.000000000Z,SELL,1.15661,1.15761,1.15461,WIN,226.84,11568.34
2025-11-03T09:00:00.000000000Z,SELL,1.15128,1.15228,1.14928,LOSS,-115.68,11452.66
2025-11-03T19:00:00.000000000Z,SELL,1.15225,1.15325,1.15025,WIN,229.06,11681.72
2025-11-04T05:00:00.000000000Z,SELL,1.15087,1.15187,1.14887,LOSS,-116.82,11564.90
2025-11-04T09:00:00.000000000Z,SELL,1.15132,1.15232,1.14932,WIN,231.30,11796.20
2025-11-05T07:00:00.000000000Z,SELL,1.14875,1.14975,1.14675,LOSS,-117.96,11678.24
2025-11-10T13:00:00.000000000Z,BUY,1.15689,1.15589,1.15889,LOSS,-116.78,11561.46
2025-11-10T18:00:00.000000000Z,BUY,1.15614,1.15514,1.15814,LOSS,-115.61,11445.85
2025-11-12T22:00:00.000000000Z,BUY,1.15937,1.15837,1.16137,LOSS,-114.46,11331.39
2025-11-13T02:00:00.000000000Z,BUY,1.15901,1.15801,1.16101,WIN,226.62,11558.01
2025-11-13T23:00:00.000000000Z,BUY,1.16381,1.16281,1.16581,LOSS,-115.58,11442.43
2025-11-14T03:00:00.000000000Z,BUY,1.16365,1.16265,1.16565,LOSS,-114.42,11328.01
