time,signal,result,profit,balance
2025-07-14T16:00:00.000000000Z,SELL,LOSS,-100.00,9900.00
2025-07-15T14:00:00.000000000Z,SELL,WIN,198.00,10098.00
2025-07-22T09:00:00.000000000Z,BUY,LOSS,-100.98,9997.02
2025-07-22T14:00:00.000000000Z,BUY,LOSS,-99.97,9897.05
2025-07-30T11:00:00.000000000Z,SELL,WIN,197.94,10094.99
2025-07-31T16:00:00.000000000Z,SELL,WIN,201.90,10296.89
2025-08-01T08:00:00.000000000Z,SELL,WIN,205.94,10502.83
2025-08-01T12:00:00.000000000Z,SELL,LOSS,-105.03,10397.80
2025-08-13T21:00:00.000000000Z,BUY,LOSS,-103.98,10293.82
2025-08-20T09:00:00.000000000Z,SELL,LOSS,-102.94,10190.88
2025-08-20T12:00:00.000000000Z,SELL,LOSS,-101.91,10088.97
2025-08-21T01:00:00.000000000Z,SELL,WIN,201.78,10290.75
2025-08-22T14:00:00.000000000Z,SELL,LOSS,-102.91,10187.84
2025-08-27T00:00:00.000000000Z,SELL,WIN,203.76,10391.60
2025-09-02T23:00:00.000000000Z,SELL,WIN,207.84,10599.44
2025-09-04T17:00:00.000000000Z,SELL,LOSS,-105.99,10493.45
2025-09-08T12:00:00.000000000Z,BUY,WIN,209.86,10703.31
2025-09-10T17:00:00.000000000Z,SELL,WIN,214.06,10917.37
2025-09-16T02:00:00.000000000Z,BUY,WIN,218.34,11135.71
2025-09-17T06:00:00.000000000Z,BUY,LOSS,-111.36,11024.35
2025-09-19T05:00:00.000000000Z,SELL,WIN,220.48,11244.83
2025-09-24T05:00:00.000000000Z,BUY,LOSS,-112.45,11132.38
2025-09-25T08:00:00.000000000Z,SELL,LOSS,-111.32,11021.06
2025-09-26T11:00:00.000000000Z,SELL,LOSS,-110.21,10910.85
2025-09-30T00:00:00.000000000Z,BUY,LOSS,-109.11,10801.74
2025-10-01T05:00:00.000000000Z,BUY,LOSS,-108.02,10693.72
2025-10-08T00:00:00.000000000Z,SELL,WIN,213.88,10907.60
2025-10-09T12:00:00.000000000Z,SELL,LOSS,-109.08,10798.52
2025-10-15T19:00:00.000000000Z,BUY,WIN,215.98,11014.50
2025-10-16T15:00:00.000000000Z,BUY,LOSS,-110.14,10904.36
2025-10-16T17:00:00.000000000Z,BUY,WIN,218.08,11122.44
2025-10-22T08:00:00.000000000Z,SELL,WIN,222.44,11344.88
2025-10-27T17:00:00.000000000Z,BUY,WIN,226.90,11571.78
2025-10-28T10:00:00.000000000Z,BUY,LOSS,-115.72,11456.06
2025-10-31T07:00:00.000000000Z,SELL,LOSS,-114.56,11341.50
2025-10-31T12:00:00.000000000Z,SELL,WIN,226.84,11568.34
2025-11-03T09:00:00.000000000Z,SELL,LOSS,-115.68,11452.66
2025-11-03T19:00:00.000000000Z,SELL,WIN,229.06,11681.72
2025-11-04T05:00:00.000000000Z,SELL,LOSS,-116.82,11564.90
2025-11-04T09:00:00.000000000Z,SELL,WIN,231.30,11796.20
2025-11-05T07:00:00.000000000Z,SELL,LOSS,-117.96,11678.24
2025-11-10T13:00:00.000000000Z,BUY,LOSS,-116.78,11561.46
2025-11-10T18:00:00.000000000Z,BUY,LOSS,-115.61,11445.85
2025-11-12T22:00:00.000000000Z,BUY,LOSS,-114.46,11331.39
2025-11-13T02:00:00.000000000Z,BUY,WIN,226.62,11558.01
2025-11-13T23:00:00.000000000Z,BUY,LOSS,-115.58,11442.43
2025-11-14T03:00:00.000000000Z,BUY,LOSS,-114.42,11328.01
